											
Stock Diario Teclados N°2											
											
BARRA											
Producto	Unidades	Porciones	Stock requerido	Inicio		Reposición		Inicio Turno		Final Turno	
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1       0.25   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          5   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°6      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0          Fecha:      /    /                                               
1                      COCINA                                               
2                    Producto        Unidades  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          0   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                           
128                                                                           
129                                                                           
130                                                                           
131                                                                           

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0        Fecha:     30/12 /23                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          2   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          1   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128                                                                       1   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     03/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128                                                                       1   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128         0.6  
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     04/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       3   
128        0.6                                                            1   
129                                                                       0   
130                                                                       0   
131                                                                       1   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     05/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          3   
128               TOALLA NOVA  1 ROLLO GRANDE                1          1   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          1   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       5   
128                                                                     0.8   
129                                                                       0   
130                                                                       0   
131                                                                       2   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



    Stock Diario Teclados N°7      Unnamed: 1       Unnamed: 2 Unnamed: 3  \
0         Fecha:     06/01/24                                               
1                      COCINA                                               
2                    Producto                  Stock requerido     Inicio   
3                                                                Unidades   
4                       POLLO                                               
..                        ...             ...              ...        ...   
127                    SPONGI             UNI                5          5   
128               TOALLA NOVA  1 ROLLO GRANDE                1        0.8   
129                   TRAPERO             UNI                1          0   
130            VIRUTILLA FINA             UNI                2          0   
131          VIRUTILLA GRUESA             UNI                2          2   

    Unnamed: 4  Unnamed: 5 Unnamed: 6    Unnamed: 7 Unnamed: 8   Unnamed: 9  \
0                                                                             
1                                                                             
2               Reposición             Inicio Turno             Final Turno   
3    Porciones    Unidades  Porciones      Unidades  Porciones     Unidades   
4                                                                             
..         ...         ...        ...           ...        ...          ...   
127                                                                       5   
128                                                                     0.2   
129                                                                       0   
130                                                                       0   
131                                                                       1   

    Unnamed: 10  
0                
1                
2                
3     Porciones  
4                
..          ...  
127              
128              
129              
130              
131              

[132 rows x 11 columns]



Empty DataFrame
Columns: [Stock Diario Teclados N°1, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°1, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°1, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°2, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°2, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°2, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°2, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°3, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°3, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°3, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°3, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°3, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°4, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°4, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°4, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°4, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°4, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°5, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°5, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°5, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°5, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°5, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°6, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°6, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°6, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°6, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°7, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°7, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°7, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°7, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



Empty DataFrame
Columns: [Stock Diario Teclados N°7, Unnamed: 1, Unnamed: 2, Unnamed: 3, Unnamed: 4, Unnamed: 5, Unnamed: 6, Unnamed: 7, Unnamed: 8, Unnamed: 9, Unnamed: 10]
Index: []



